,price,artist,title,yearCreation,signed,condition,period,movement
353,160000,Alex Katz,Black Dress Portfolio,2015,Signed and numbered,Excellent condition.,Contemporary,Pop Art
295,160000,Russell Young,Marilyn Crying,2019,"Signed and numbered ""JX"" verso",Excellent condition.,Contemporary,Pop Art
148,135000,Vija Celmins,"Untitled (Desert), Untitled (Ocean), Untitled (Sky), Untitled (Galaxy)",1975,Signed by artist on bottom right,"The work is in excellent condition, direct from the publisher.",Contemporary,Photorealism
352,128000,John Baldessari,"National City (W,1,2,3,4,5,6,B)",2002,Signed on the reverse.,Excellent condition.,Contemporary,Pop Art
415,75000,Biff Elrod,Ceiling Painting,2018,Signed verso ,This work is in excellent condition.,Contemporary,Pop Art
418,71500,Larry Bell,New Test #1,2003,"Signed, titled and dated bottom right corner recto",Not examined out of frame.Moderate sheet undulation due to artist's chosen working materials. ,Contemporary,Minimalism
396,70000,Willem de Kooning,Untitled ,1955,"Signed de Kooning in pencil; inscribed in pencil right side recto ""to Leonardo from Bill with Love"" ","This drawing is in good and stable condition consistent with its age, the inherent quality of the artist's chosen materials, and other examples of the artist's works using similar materials.The paper support is toned overall with some additional darkening corresponding to the area exposed to light. There is a liquid stain at the top left corner, which is likely attributable to the milieu of the artist’s studio. The sheet is structurally sound with some small edge tears and dents. An old tear that crosses the width of the sheet has been well-mended during an earlier restoration procedure through the application of an overall paper lining on the verso surface.The sheet has natural undulations and minor distortions throughout. The UV examination did not reveal anything further of note and provided additional support for the observations above.Presented with a window mat that covers the sheet edges.",Post-War,Abstract Expressionism
73,70000,Roy Lichtenstein,Landscape Mobile (Limoges),1990,Signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
215,54000,Mario Schifano,Studio per K Sogno Di F.L.S.,[nan],"signed by artist, front",Very good condition,Post-War,Abstract Expressionism
293,50000,Lillian Bassman,"Across the Restaurant at Le Grand Vefour, Barbara Mullen, Harper's Bazaar, Paris [Dress by Jacques Fath]",1949,Signed in pencil verso,Excellent condition.,Post-War,Realism
150,50000,Ed  Ruscha,IF,2000,Signed and dated by artist on bottom right,"The work is in excellent condition, direct from the publisher. It is offered unframed.",Contemporary,Pop Art
263,48000,Matt Mullican,Untitled (Cosmology Signs),1991,Signed and dated verso,Excellent condition.,Contemporary,Conceptual 
247,45000,Christopher Wool,Untitled (Triptych),1998,"Signed, dated and numbered in pencil","The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
94,42500,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
95,42500,Cindy  Sherman,Madame de Pompadour (née Poisson),1990,Signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Conceptual 
107,42000,Gustave Blache III,Celia with Blade (Standing on Footstool),2016,Signed upper right,This work is in very good condition.,Contemporary,Realism
11,40000,Friedel Dzubas,Upstream,1973,Signed and dated on verso,This work is in excellent condition.,Contemporary,Abstract
266,40000,Frank Schroeder,Tales of God,2016,Signed lower left recto,Excellent condition.,Contemporary,Expressionism
270,40000,Frank Schroeder,Endless Summer in the Garden,2016,Signed lower left recto,Excellent condition.,Contemporary,Abstract
271,40000,Frank Schroeder,1001 Nights,2016,Signed lower left recto,Excellent condition.,Contemporary,Abstract
236,40000,Jasper Johns,Untitled,2018,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
362,37000,Marcel Dyf,Fille aux Violets,1957,Signed Dyf bottom left in paint,"Overall very good condition.Small chip to canvas at left side, middle.Occasional scratching and chips at frame corners.Not examined out of frame.",Post-War,Impressionism
253,35000,Sam  Francis,Untitled (sfm 83-471),1983,"Signed ""Sam Francis"" in pencil on verso, inscribed ""SFM83-471 25 X 31-1/2"" in pencil on verso","The work is in excellent condition, direct from the publisher.",Contemporary,Abstract Expressionism
237,35000,Jasper Johns,Regrets,2014,Signed lower right,"The work is in excellent condition, direct from the publisher.",Contemporary,Abstract
439,35000,Richard Corman,Jean-Michel Basquiat,1984,All three photographs signed and numbered verso,Works not inspected out of frame.Undulation to paper along edges of matting. ,Contemporary,Realism
61,34000,Adolf Schreyer,Arab Chief,1850,Signed Ad. Schreyer (lower left),"The canvas is not lined.Fine craquelure in the sky, under a dull and yellowed varnish.Under UV light, possible old inpainting on the center figure's saddle and the hindquarters of the brown horse at right.",19th Century,Realism
260,32000,Mel  Bochner,"Measurement: 41""/22""",1998,"i. signed, titled and dated 1998 on the reverseii. titled on the reverseiii. titled on the reverse",Unframed. In good condition overall.,Contemporary,Conceptual 
300,32000,Russell Young,Kate Moss Diptych,2015,"Signed and numbered ""BII"" verso",Excellent condition.,Contemporary,Pop Art
200,32000,Agnieszka  Pilat,B70 Multiples,2021,Stamped Pilat lower right verso ,Overall excellent condition,Contemporary,Abstract
57,30000,Michael Ghaui,Zebra on the Mwagusi Sand River ,1999,Signed MAGhaui ©; dated 99 (lower left),"The canvas is unlined and tacked to the original stretchers. Under UV: While some pigments read strongly, they appear to be the artist’s original.  ",Post-War,Realism
347,30000,Robin Rhode,Ballad to Ballet,2008,[nan],Work appears to be in good condition. Light dust throughout. Some frames are scratched and dinged.,Contemporary,Conceptual 
267,30000,Danny Simmons,The Golden Path,2016,Signed verso,Excellent condition.,Contemporary,Abstract Expressionism
269,30000,Danny Simmons,Traveling,2016,Signed verso,Excellent condition.,Contemporary,Abstract Expressionism
108,28500,Gustave Blache III,Simon Test Cleaning with Bonhams,2014,Signed lower right,This work is in very good condition.,Contemporary,Realism
0,28500,Tommaso Ottieri,Bayreuth Opera,2021,Signed on verso,This work is in excellent condition.,Contemporary,Baroque
199,28500,Agnieszka  Pilat,B70 Mother and Child ,2021,Stamped Pilat lower right verso,Overall excellent condition ,Contemporary,Abstract
96,27500,George Segal,Classical Still Life,1990,Signed and numbered,"This work is in excellent condition, direct from the publisher.",Contemporary,Pop Art
407,27500,Alex Katz,Chance 3 (Darinka),2016,"Signed and numbered lower left front, stamped © Alex Katz, Lococo Fine Art Publisher 2016, verso lower right",Excellent condition.Not examined out of frame.,Contemporary,Pop Art
